id,Internship_title,Company,Location,Location_1,Duration(Months),Stipend_given(perMonth),Skills_required,Skills_required_1
1,Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,Work From Home,6,1000-2000,"Python, Software Testing, Django, Machine Learning, C++ Programming",Python
2,Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,Work From Home,6,1000-2000,"Python, Software Testing, Django, Machine Learning, C++ Programming",Software Testing
3,Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,Work From Home,6,1000-2000,"Python, Software Testing, Django, Machine Learning, C++ Programming",Django
4,Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,Work From Home,6,1000-2000,"Python, Software Testing, Django, Machine Learning, C++ Programming",Machine Learning
5,Technical Management (OCR) Based On Machine Learning And Software Development,IIT Bombay,Work From Home,Work From Home,6,1000-2000,"Python, Software Testing, Django, Machine Learning, C++ Programming",C++ Programming
6,Data Mining & Research,IndiaMART InterMESH Limited,Work From Home,Work From Home,6,8000,"Python, .NET, JSON, Perl",Python
7,Data Mining & Research,IndiaMART InterMESH Limited,Work From Home,Work From Home,6,8000,"Python, .NET, JSON, Perl",ASP.NET
8,Data Mining & Research,IndiaMART InterMESH Limited,Work From Home,Work From Home,6,8000,"Python, .NET, JSON, Perl",JSON
9,Data Mining & Research,IndiaMART InterMESH Limited,Work From Home,Work From Home,6,8000,"Python, .NET, JSON, Perl",Perl
10,Business Analytics,Accentus Consulting,Kolkata,Kolkata,4,10000,"MS-PowerPoint, MS-Excel",MS-PowerPoint
11,Business Analytics,Accentus Consulting,Kolkata,Kolkata,4,10000,"MS-PowerPoint, MS-Excel",MS-Excel
12,Business Analytics,Iauro System Private Limited,Pune,Pune,6,10000,Not Found,nan
13,Data Protection Consulting,Tsaaro,Work From Home,Work From Home,2,5000,Not Found,nan
14,Machine Learning,Velozity Global Solutions,Work From Home,Work From Home,3,15000,"Machine Learning, Artifical Intelligence",Machine Learning
15,Machine Learning,Velozity Global Solutions,Work From Home,Work From Home,3,15000,"Machine Learning, Artifical Intelligence",Artifical Intelligence
16,Alchemy Development (Python/Flask/SQL),RedCarpetUp,Work From Home,Work From Home,6,20000-25000,Not Found,nan
17,Data Science,SkillBit,Work From Home,Work From Home,2,5000,"Python, Machine Learning",Python
18,Data Science,SkillBit,Work From Home,Work From Home,2,5000,"Python, Machine Learning",Machine Learning
19,Business Analysis,Intelliconnect Technologies LLP,Pune,Pune,4,6000-8000,"Cloud Computing, English Proficiency (Spoken), English Proficiency (Written)",Cloud Computing
20,Business Analysis,Intelliconnect Technologies LLP,Pune,Pune,4,6000-8000,"Cloud Computing, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Spoken)
21,Business Analysis,Intelliconnect Technologies LLP,Pune,Pune,4,6000-8000,"Cloud Computing, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Written)
22,Data Science,OneAssist Consumer Solutions Private Limited,Gurgaon,Gurgaon,6,20000-25000,Not Found,nan
23,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",Python
24,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",MySQL
25,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",Data Analytics
26,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",R Programming
27,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",Data Science
28,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",Amazon Web Services (AWS)
29,Data Analytics & Decision Science,Cron Labs,Bangalore,Bangalore,6,10000,"Python, SQL, Data Analytics, R Programming, Data Science, Amazon Web Services (AWS), Google Cloud Computing",Google Cloud Computing
30,Research Analysis,Pushpak.ai,Hyderabad,Hyderabad,3,10000-20000,Not Found,nan
31,Google AdWords Management,Vplak,Gurgaon,Gurgaon,3,8000-12000,"Digital Marketing, Google AdWords, Mathematics",Digital Marketing
32,Google AdWords Management,Vplak,Gurgaon,Gurgaon,3,8000-12000,"Digital Marketing, Google AdWords, Mathematics",Google AdWords
33,Google AdWords Management,Vplak,Gurgaon,Gurgaon,3,8000-12000,"Digital Marketing, Google AdWords, Mathematics",Mathematics
34,Artificial Intelligence & Machine Learning,Sumaiya Industries Private Limited,Work From Home,Work From Home,4,15000,"OpenCV, Python, Apache Cassandra",OpenCV
35,Artificial Intelligence & Machine Learning,Sumaiya Industries Private Limited,Work From Home,Work From Home,4,15000,"OpenCV, Python, Apache Cassandra",Python
36,Artificial Intelligence & Machine Learning,Sumaiya Industries Private Limited,Work From Home,Work From Home,4,15000,"OpenCV, Python, Apache Cassandra",Apache Cassandra
37,Data Analytics,Noisy Lion,Noida,Noida,3,5000-10000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",MS-Excel
38,Data Analytics,Noisy Lion,Noida,Noida,3,5000-10000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Spoken)
39,Data Analytics,Noisy Lion,Noida,Noida,3,5000-10000,"MS-Excel, English Proficiency (Spoken), English Proficiency (Written)",English Proficiency (Written)
40,Web Scraping,Hanli,Work From Home,Work From Home,2,6000,Not Found,nan
41,Data Science,Exa Mobility India Private Limited,"Pune, Pimpri-Chinchwad",Pune,3,5000-10000,"MySQL, Python, SQL, Algorithms, Data Structures, Data Analytics, Statistical Modeling, Machine Learning, MS-Excel, NoSQL, Deep Learning, Tableau, Amazon Web Server (AWS)",MySQL
